TradeTime,open,high,low,close,volume
2018-09-18 00:00:00,48300.0,48310.0,48280.0,48300.0,5479872
2018-09-18 00:15:00,48280.0,48320.0,48280.0,48300.0,4053954
2018-09-18 00:30:00,48300.0,48350.0,48280.0,48320.0,6679078
2018-09-18 00:45:00,48320.0,48330.0,48260.0,48270.0,3667986
2018-09-18 01:00:00,,,,,0
2018-09-18 01:15:00,,,,,0
2018-09-18 01:30:00,,,,,0
2018-09-18 01:45:00,,,,,0
2018-09-18 02:00:00,,,,,0
2018-09-18 02:15:00,,,,,0
2018-09-18 02:30:00,,,,,0
2018-09-18 02:45:00,,,,,0
2018-09-18 03:00:00,,,,,0
2018-09-18 03:15:00,,,,,0
2018-09-18 03:30:00,,,,,0
2018-09-18 03:45:00,,,,,0
2018-09-18 04:00:00,,,,,0
2018-09-18 04:15:00,,,,,0
2018-09-18 04:30:00,,,,,0
2018-09-18 04:45:00,,,,,0
2018-09-18 05:00:00,,,,,0
2018-09-18 05:15:00,,,,,0
2018-09-18 05:30:00,,,,,0
2018-09-18 05:45:00,,,,,0
2018-09-18 06:00:00,,,,,0
2018-09-18 06:15:00,,,,,0
2018-09-18 06:30:00,,,,,0
2018-09-18 06:45:00,,,,,0
2018-09-18 07:00:00,,,,,0
2018-09-18 07:15:00,,,,,0
2018-09-18 07:30:00,,,,,0
2018-09-18 07:45:00,,,,,0
2018-09-18 08:00:00,,,,,0
2018-09-18 08:15:00,,,,,0
2018-09-18 08:30:00,,,,,0
2018-09-18 08:45:00,,,,,0
2018-09-18 09:00:00,,,,,0
2018-09-18 09:15:00,48100.0,48100.00000000001,48020.0,48080.0,26950462
2018-09-18 09:30:00,48080.0,48190.0,48080.0,48120.0,36825488
2018-09-18 09:45:00,48120.0,48120.0,48120.0,48120.0,33952
2018-09-18 10:00:00,,,,,0
2018-09-18 10:15:00,,,,,0
2018-09-18 10:30:00,,,,,0
2018-09-18 10:45:00,,,,,0
2018-09-18 11:00:00,,,,,0
2018-09-18 11:15:00,,,,,0
2018-09-18 11:30:00,,,,,0
2018-09-18 11:45:00,,,,,0
2018-09-18 12:00:00,,,,,0
2018-09-18 12:15:00,,,,,0
2018-09-18 12:30:00,,,,,0
2018-09-18 12:45:00,,,,,0
2018-09-18 13:00:00,,,,,0
2018-09-18 13:15:00,,,,,0
2018-09-18 13:30:00,,,,,0
2018-09-18 13:45:00,,,,,0
2018-09-18 14:00:00,,,,,0
2018-09-18 14:15:00,,,,,0
2018-09-18 14:30:00,,,,,0
2018-09-18 14:45:00,,,,,0
2018-09-18 15:00:00,,,,,0
2018-09-18 15:15:00,,,,,0
2018-09-18 15:30:00,,,,,0
2018-09-18 15:45:00,,,,,0
2018-09-18 16:00:00,,,,,0
2018-09-18 16:15:00,,,,,0
2018-09-18 16:30:00,,,,,0
2018-09-18 16:45:00,,,,,0
2018-09-18 17:00:00,,,,,0
2018-09-18 17:15:00,,,,,0
2018-09-18 17:30:00,,,,,0
2018-09-18 17:45:00,,,,,0
2018-09-18 18:00:00,,,,,0
2018-09-18 18:15:00,,,,,0
2018-09-18 18:30:00,47840.0,47840.0,47840.0,47840.0,0
2018-09-18 18:45:00,,,,,0
2018-09-18 19:00:00,,,,,0
2018-09-18 19:15:00,,,,,0
2018-09-18 19:30:00,,,,,0
2018-09-18 19:45:00,,,,,0
2018-09-18 20:00:00,,,,,0
2018-09-18 20:15:00,,,,,0
2018-09-18 20:30:00,,,,,0
2018-09-18 20:45:00,47930.0,47930.0,47930.0,47930.0,4
2018-09-18 21:00:00,47910.0,48000.0,47880.0,47960.0,1597196
2018-09-18 21:15:00,47970.0,47990.0,47940.0,47950.0,2457076
2018-09-18 21:30:00,47950.0,48000.0,47940.0,47940.0,3135014
2018-09-18 21:45:00,47940.0,48030.0,47940.0,48020.0,3689574
2018-09-18 22:00:00,48020.0,48270.0,48020.0,48230.0,9957344
2018-09-18 22:15:00,48230.0,48230.0,48190.0,48200.0,8127254
2018-09-18 22:30:00,48200.0,48300.0,48200.0,48260.0,10531954
2018-09-18 22:45:00,48260.0,48310.0,48210.0,48220.0,13981048
2018-09-18 23:00:00,48220.0,48290.0,48200.0,48240.0,11222888
2018-09-18 23:15:00,48240.0,48340.0,48240.0,48300.0,10258228
2018-09-18 23:30:00,48310.0,48350.0,48300.0,48320.0,7944806
2018-09-18 23:45:00,48320.0,48330.0,48290.0,48300.0,6428580
