TradeTime,open,high,low,close,volume
2018-09-13 09:15:00,48460.0,48470.0,48450.0,48460.0,3437470
2018-09-13 09:30:00,48460.0,48480.0,48390.0,48400.0,24261732
2018-09-13 09:45:00,48400.0,48410.0,48320.0,48390.0,24425828
2018-09-13 10:00:00,48390.0,48390.0,48340.00000000001,48370.0,17698520
2018-09-13 10:15:00,,,,,0
2018-09-13 10:30:00,48350.0,48370.0,48330.0,48340.0,13162508
2018-09-13 10:45:00,48340.0,48350.0,48290.0,48340.0,22816240
2018-09-13 11:00:00,48340.0,48400.0,48340.0,48390.0,24081098
2018-09-13 11:15:00,48400.0,48440.0,48370.0,48380.0,20173758
2018-09-13 11:30:00,,,,,0
2018-09-13 11:45:00,,,,,0
2018-09-13 12:00:00,,,,,0
2018-09-13 12:15:00,,,,,0
2018-09-13 12:30:00,,,,,0
2018-09-13 12:45:00,,,,,0
2018-09-13 13:00:00,,,,,0
2018-09-13 13:15:00,,,,,0
2018-09-13 13:30:00,48340.0,48360.0,48220.0,48270.0,26476780
2018-09-13 13:45:00,48270.0,48440.0,48270.0,48390.0,34279812
2018-09-13 14:00:00,48390.0,48440.0,48390.0,48420.0,35036196
2018-09-13 14:15:00,48420.0,48600.0,48420.0,48590.0,57146910
2018-09-13 14:30:00,48590.0,48610.0,48520.0,48520.0,41747376
2018-09-13 14:45:00,48520.0,48520.0,48520.0,48520.0,100538
