TradeTime,last_price,volume
09:39:29,49250.0,57934
09:39:29,49250.0,57934
09:39:29,49230.0,57938
09:39:29,49230.0,57938
09:39:30,49230.0,57940
09:39:30,49230.0,57940
09:39:30,49230.0,57942
09:39:30,49230.0,57942
09:39:31,49230.0,57942
09:39:31,49230.0,57942
09:39:31,49230.0,57942
09:39:31,49230.0,57942
09:39:32,49230.0,57942
09:39:32,49230.0,57942
09:39:32,49230.0,57942
09:39:32,49230.0,57942
09:39:33,49230.0,57942
09:39:33,49230.0,57942
09:39:34,49230.0,57942
09:39:34,49230.0,57942
09:39:34,49230.0,57942
09:39:34,49230.0,57942
09:39:35,49230.0,57942
09:39:35,49230.0,57942
09:39:36,49230.0,57942
09:39:36,49230.0,57942
09:39:37,49230.0,57942
09:39:37,49230.0,57942
09:39:37,49230.0,57942
09:39:37,49230.0,57942
09:39:38,49230.0,57942
09:39:38,49230.0,57942
09:39:38,49230.0,57942
09:39:38,49230.0,57942
09:39:39,49230.0,57942
09:39:39,49230.0,57942
09:39:41,49230.0,57942
09:39:41,49230.0,57942
09:39:41,49230.0,57942
09:39:41,49230.0,57942
09:39:42,49230.0,57942
09:39:42,49230.0,57942
09:39:42,49230.0,57942
09:39:42,49230.0,57942
09:39:45,49230.0,57942
09:39:45,49230.0,57942
09:39:45,49230.0,57942
09:39:45,49230.0,57942
09:39:46,49230.0,57942
09:39:46,49230.0,57942
09:39:47,49230.0,57942
09:39:47,49230.0,57942
09:39:47,49230.0,57942
09:39:47,49230.0,57942
09:39:48,49230.0,57942
09:39:48,49230.0,57942
09:39:49,49230.0,57942
09:39:49,49230.0,57942
09:39:49,49240.0,57944
09:39:49,49240.0,57944
09:39:50,49240.0,57944
09:39:50,49240.0,57944
09:39:51,49240.0,57946
09:39:51,49240.0,57946
09:39:57,49240.0,57946
09:39:57,49240.0,57946
09:40:01,49240.0,57946
09:40:01,49240.0,57946
09:40:01,49240.0,57946
09:40:01,49240.0,57946
09:40:02,49240.0,57946
09:40:02,49240.0,57946
09:40:03,49240.0,57954
09:40:03,49240.0,57954
09:40:03,49240.0,57966
09:40:03,49240.0,57966
09:40:04,49240.0,57966
09:40:04,49240.0,57966
09:40:04,49230.0,57986
09:40:04,49230.0,57986
09:40:05,49230.0,57986
09:40:05,49230.0,57986
09:40:08,49230.0,57986
09:40:08,49230.0,57986
09:40:09,49230.0,57986
